Cumulative Update,Release Date,Build
"<a href=""https://support.microsoft.com/kb/5090407"">GDR</a>",2026/05/12,15.0.4470.1
"<a href=""https://support.microsoft.com/kb/5084816"">GDR</a>",2026/04/14,15.0.4465.1
"<a href=""https://support.microsoft.com/kb/5077469"">GDR</a>",2026/03/10,15.0.4460.4
"<a href=""https://support.microsoft.com/kb/5068404"">GDR</a>",2025/11/11,15.0.4455.2
"<a href=""https://support.microsoft.com/kb/5065222"">GDR</a>",2025/09/09,15.0.4445.1
"<a href=""https://support.microsoft.com/en-us/topic/kb5063757-description-of-the-security-update-for-sql-server-2019-cu32-august-12-2025-d4df46ef-6b1e-4a6c-aa8c-914d25f74345"">GDR</a>",2025/08/12,15.0.4440.1
"<a href=""https://support.microsoft.com/en-us/topic/kb5058722-description-of-the-security-update-for-sql-server-2019-cu32-july-8-2025-09dc5da9-3a60-4462-a8ac-a8e782d088d5"">GDR</a>",2025/07/08,15.0.4435.7
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate32"">CU32</a>",2025/02/27,15.0.4430.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate31"">CU31</a>",2025/02/13,15.0.4420.2
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate30"">CU30</a>",2024/12/13,15.0.4415.2
"<a href=""https://support.microsoft.com/en-us/topic/kb5046860-description-of-the-security-update-for-sql-server-2019-cu29-november-12-2024-4bddde28-482c-4628-a6e2-2d4f542088b7"">GDR</a>",2024/11/12,15.0.4410.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate29"">CU29</a>",2024/10/31,15.0.4405.4
"<a href=""https://support.microsoft.com/en-us/topic/kb5046060-description-of-the-security-update-for-sql-server-2019-cu28-october-8-2024-32ee3e5d-f831-4e5b-98f4-b89ad6e517de"">GDR</a>",2024/10/08,15.0.4395.2
"<a href=""https://support.microsoft.com/en-us/topic/kb5042749-description-of-the-security-update-for-sql-server-2019-cu28-september-10-2024-17402ce5-07d3-4e30-9037-9ef997104f34"">GDR</a>",2024/09/10,15.0.4390.2
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate28"">CU28</a>",2024/08/01,15.0.4385.2
"<a href=""https://support.microsoft.com/en-us/topic/kb5040948-description-of-the-security-update-for-sql-server-2019-cu27-july-9-2024-6447dc00-9f1b-484c-9d3d-9e1f1b9f915c"">GDR</a>",2024/07/09,15.0.4382.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate27"">CU27</a>",2024/06/14,15.0.4375.4
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate26"">CU26</a>",2024/04/11,15.0.4365.2
"<a href=""https://support.microsoft.com/en-us/topic/kb5036335-description-of-the-security-update-for-sql-server-2019-cu25-april-9-2024-eb3571d0-62ee-445e-9681-5715caf9bbc2"">GDR</a>",2024/04/09,15.0.4360.2
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate25"">CU25</a>",2024/02/15,15.0.4355.3
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate24"">CU24</a>",2023/12/14,15.0.4345.5
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate23"">CU23</a>",2023/10/12,15.0.4335.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate22"">CU22</a>",2023/08/15,15.0.4322.2
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2019/cumulativeupdate21"">CU21</a>",2023/06/15,15.0.4316.3
"<a href=""https://support.microsoft.com/en-us/topic/kb5024276-cumulative-update-20-for-sql-server-2019-4b282be9-b559-46ac-9b6a-badbd44785d2"">CU20</a>",2023/04/13,15.0.4312.2
"<a href=""https://support.microsoft.com/kb/5023049"">CU19</a>",2023/02/16,15.0.4298.1
"<a href=""https://support.microsoft.com/kb/5021124"">CU18 GDR</a>",2023/02/14,15.0.4280.7
"<a href=""https://support.microsoft.com/en-us/topic/kb5017593-cumulative-update-18-for-sql-server-2019-5fa00c36-edeb-446c-94e3-c4882b7526bc"">CU18</a>",2022/09/28,15.0.4261.1
"<a href=""https://support.microsoft.com/en-us/topic/kb5016394-cumulative-update-17-for-sql-server-2019-3033f654-b09d-41aa-8e49-e9d0c353c5f7"">CU17</a>",2022/08/11,15.0.4249.2
"<a href=""https://support.microsoft.com/en-us/topic/kb5014353-description-of-the-security-update-for-sql-server-2019-cu16-june-14-2022-f0afe659-bd19-4c87-a417-a4c67a47e644"">GDR</a>",2022/06/13,15.0.4236.7
"<a href=""https://support.microsoft.com/en-us/topic/kb5011644-cumulative-update-16-for-sql-server-2019-74377be1-4340-4445-93a7-ff843d346896"">CU16</a>",2022/04/18,15.0.4223.1
"<a href=""https://support.microsoft.com/en-us/topic/kb5008996-cumulative-update-15-for-sql-server-2019-4b6a8ee9-1c61-482d-914f-36e429901fb6"">CU15</a>",2022/01/27,15.0.4198.2
"<a href=""https://support.microsoft.com/en-us/topic/kb5007182-cumulative-update-14-for-sql-server-2019-67b00a61-4f30-4a36-a5db-b506c47e563b"">CU14</a>*",2021/11/22,15.0.4188.2
"<a href=""https://support.microsoft.com/en-us/topic/kb5005679-cumulative-update-13-for-sql-server-2019-5c1be850-460a-4be4-a569-fe11f0adc535"">CU13</a>*",2021/10/05,15.0.4178.1
"<a href=""https://support.microsoft.com/en-us/topic/kb5004524-cumulative-update-12-for-sql-server-2019-45b2d82a-c7d0-4eb8-aa17-d4bad4059987"">CU12</a>*",2021/08/04,15.0.4153.1
