Cumulative Update,Release Date,Build
"<a href=""https://support.microsoft.com/en-us/topic/kb5003249-cumulative-update-11-for-sql-server-2019-657b2977-a0f1-4e1f-8b93-8c2ca8b6bef5"">CU11</a>",2021/06/10,15.0.4138.2
"<a href=""https://support.microsoft.com/en-us/topic/kb5001090-cumulative-update-10-for-sql-server-2019-b6b696ec-6598-48d9-80ee-f1b85d7a508b"">CU10</a>",2021/04/06,15.0.4123.1
"<a href=""https://support.microsoft.com/en-us/topic/kb5000642-cumulative-update-9-for-sql-server-2019-97ad5c3e-e002-4b6d-b566-698bf70ca44a"">CU9</a>",2021/02/11,15.0.4102.2
"<a href=""https://support.microsoft.com/en-us/help/4583459/kb4583459-security-update-for-sql-server-2019-cu8"">GDR</a>",2021/01/12,15.0.4083.2
"<a href=""https://support.microsoft.com/en-us/help/4577194/cumulative-update-8-for-sql-server-2019"">CU8</a>",2020/10/01,15.0.4073.23
"<del> <a href=""https://support.microsoft.com/en-us/help/4570012/cumulative-update-7-for-sql-server-2019"">CU7</a>* </del>",2020/09/02,15.0.4063.15
"<a href=""https://support.microsoft.com/en-us/help/4563110/cumulative-update-6-for-sql-server-2019"">CU6</a>",2020/08/04,15.0.4053.23
"<a href=""https://support.microsoft.com/en-us/help/4552255/cumulative-update-5-for-sql-server-2019"">CU5</a>",2020/06/22,15.0.4043.16
"<a href=""https://support.microsoft.com/en-us/help/4548597/cumulative-update-4-for-sql-server-2019"">CU4</a>",2020/03/31,15.0.4033.1
"<a href=""https://support.microsoft.com/en-us/help/4538853/cumulative-update-3-for-sql-server-2019"">CU3</a>",2020/03/12,15.0.4023.6
"<a href=""https://support.microsoft.com/en-us/help/4536075/cumulative-update-2-for-sql-server-2019"">CU2*</a>",2020/02/13,15.0.4013.40
"<a href=""https://support.microsoft.com/en-us/help/4527376/cumulative-update-1-for-sql-server-2019"">CU1</a>",2020/01/07,15.0.4003.23
"<a href=""https://support.microsoft.com/en-us/help/4517790/servicing-update-for-sql-server-2019-rtm"">GDR</a>",2019/11/04,15.0.2070.41
RTM,2019/11/04,15.0.2000.5
