Service Pack,Cumulative Update,Release Date,Build,Support Ends
,CU6,2016/04/19,12.0.4449,"2017/10/10 (removed 2016/05/26 - <a href=""https://sqlserverupdates.com/news/urgent-do-not-install-sql-2014-sp1-cu6/"">broke NOLOCK</a>)"
,"<a href=""https://support.microsoft.com/en-us/kb/3130926"">CU5</a>",2016/02/22,12.0.4439,2017/10/10- out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3106660"">CU4</a>",2015/12/22,12.0.4436,2017/10/10- out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3094221"">CU3</a>",2015/10/19,12.0.4427,2017/10/10- out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3075950"">CU2</a>",2015/08/17,12.0.4422.1,2017/10/10- out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3067839"">CU1</a>",2015/06/19,12.0.4416.1,2017/10/10- out of support
"<a href=""http://www.microsoft.com/en-us/download/details.aspx?id=46694&amp;WT.mc_id=rss_alldownloads_all"">SP1</a>",,2015/05/15,12.0.4100.0,2017/10/10- out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3158271"">CU14</a>",2016/06/21,12.0.2569.0,2016/07/12 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3144517"">CU13</a>",2016/04/19,12.0.2568.0,2016/07/12 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3130923"">CU12</a>",2016/02/22,12.0.2564.0,2016/07/12 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3106659"">CU11</a>",2015/12/22,12.0.2560.4,2016/07/12 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3094220"">CU10</a>",2015/10/19,12.0.2556.4,2016/07/12 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3075949"">CU9</a>",2015/08/18,12.0.2553.0,2016/07/12 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3067836"">CU8</a>",2015/06/19,12.0.2546.0,2016/07/12 - out of support
,"<a href=""http://support2.microsoft.com/kb/3046038"">CU7</a>",2015/04/22,12.0.2495.0,2016/07/12 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3031047"">CU6</a>",2015/02/16,12.0.2480.0,2016/07/12 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3011055"">CU5</a>",2014/12/17,12.0.2456.0,2016/07/12 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/2999197"">CU4</a>",2014/10/21,12.0.2430.0,2016/07/12 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/2984923"">CU3</a>",2014/08/18,12.0.2402.0,2016/07/12 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/2967546"">CU2</a>",2014/06/27,12.0.2370.0,2016/07/12 - out of support
None (RTM),"<a href=""https://support.microsoft.com/en-us/kb/2931693"">CU1</a>",2014/04/21,12.0.2342.0,2016/07/12 - out of support
