Service Pack,Cumulative Update,Release Date,Build,Support Ends
,"<a href=""https://support.microsoft.com/help/5102340"">GDR</a>",2026/07/14,13.0.6500.1,2026/07/14
,"<a href=""https://support.microsoft.com/kb/5089271"">GDR</a>",2026/05/12,13.0.6490.1,2026/07/14
,"<a href=""https://support.microsoft.com/kb/5084821"">GDR</a>",2026/04/14,13.0.6485.1,2026/07/14
,"<a href=""https://support.microsoft.com/kb/5077474"">GDR</a>",2026/03/10,13.0.6480.4,2026/07/14
,"<a href=""https://support.microsoft.com/kb/5068401"">GDR</a>",2025/11/11,13.0.6475.1,2026/07/14
,"<a href=""https://support.microsoft.com/kb/5065226"">GDR</a>",2025/09/09,13.0.6470.1,2026/07/14
,"<a href=""https://support.microsoft.com/en-us/topic/kb5063762-description-of-the-security-update-for-sql-server-2016-sp3-gdr-august-12-2025-c7c25df6-577c-49b3-9ca9-b7e9812b9344"">GDR</a>",2025/08/12,13.0.6465.1,2026/07/14
,"<a href=""https://support.microsoft.com/en-us/topic/kb5058718-description-of-the-security-update-for-sql-server-2016-sp3-gdr-july-8-2025-07f76376-d058-480d-b71f-6a85470b8086"">GDR</a>",2025/07/08,13.0.6460.7,2026/07/14
,"<a href=""https://support.microsoft.com/en-us/topic/kb5046855-description-of-the-security-update-for-sql-server-2016-sp3-gdr-november-12-2024-736b0a32-912d-4ea5-baf8-50d046cbfa1a"">GDR</a>",2024/11/12,13.0.6455.2,2026/07/14
,"<a href=""https://support.microsoft.com/en-us/topic/kb5046063-description-of-the-security-update-for-sql-server-2016-sp3-gdr-october-8-2024-87f6091b-a0c0-48e7-8de4-b10381559ba7"">GDR</a>",2024/10/08,13.0.6450.1,2026/07/14
,"<a href=""https://support.microsoft.com/en-us/topic/kb5042207-description-of-the-security-update-for-sql-server-2016-sp3-gdr-september-10-2024-e27a41df-009d-4a50-85e7-dc8f06b9a5a5"">GDR</a>",2024/09/10,13.0.6445.1,2026/07/14
,"<a href=""https://support.microsoft.com/kb/5040946"">GDR</a>",2024/07/09,13.0.6441.1,2026/07/14
,"<a href=""https://support.microsoft.com/kb/5029186"">GDR</a>",2023/10/12,13.0.6435.1,2026/07/14
,"<a href=""https://support.microsoft.com/kb/5021129"">GDR</a>",2023/02/14,13.0.6430.49,2026/07/14
,"<a href=""https://support.microsoft.com/en-us/topic/kb5014355-description-of-the-security-update-for-sql-server-2016-sp3-gdr-june-14-2022-bb5097a0-f8f1-4d2c-bfe1-af069ca3cc59"">GDR</a>",2022/06/13,13.0.6419.1,2026/07/14
,"<a href=""https://support.microsoft.com/en-us/topic/kb5006943-on-demand-hotfix-update-package-for-sql-server-2016-sp3-94de2975-cd7d-47ed-b003-5d7daf4e2caf"">Hotfix</a>",2021/10/28,13.0.6404.1,2026/07/14
"<a href=""https://support.microsoft.com/en-us/topic/kb5003279-sql-server-2016-service-pack-3-release-information-46ab9543-5cf9-464d-bd63-796279591c31"">SP3</a>",,2021/09/15,13.0.6300.2,2026/07/14
,"<a href=""https://support.microsoft.com/en-us/topic/kb5001092-cumulative-update-17-for-sql-server-2016-sp2-5876a4d6-59ac-484a-93dc-4be456cd87d1"">CU17</a>",2021/03/29,13.0.5888.11,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/topic/kb5000645-cumulative-update-16-for-sql-server-2016-sp2-a3997fa9-ec49-4df0-bcc3-12dd58b78265"">CU16</a>",2021/02/11,13.0.5882.1,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4583461/kb4583461-security-update-for-sql-server-2016-sp2-cu15"">GDR</a>",2021/01/12,13.0.5865.1,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4577775/cumulative-update-15-for-sql-server-2016-sp2"">CU15</a>",2020/09/28,13.0.5850.14,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4564903/cumulative-update-14-for-sql-server-2016-sp2"">CU14</a>",2020/08/06,13.0.5830.85,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4549825/cumulative-update-13-for-sql-server-2016-sp2"">CU13</a>",2020/05/28,13.0.5820.21,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4536648/cumulative-update-12-for-sql-server-2016-sp2"">CU12</a>",2020/02/25,13.0.5698.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4535706/description-of-the-security-update-for-sql-server-2016-sp2-cu11-februa"">Security Update</a>",2020/02/11,13.0.5622.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4527378/cumulative-update-11-for-sql-server-2016-sp2"">CU11</a>",2019/12/09,13.0.5598.27,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4524334/cumulative-update-10-for-sql-server-2016-sp2"">CU10</a>",2019/10/08,13.0.5492.2,2022/10/11
,"<del> <a href=""https://support.microsoft.com/en-us/help/4515435/cumulative-update-9-for-sql-server-2016-sp2"">CU9</a> </del>",2019/09/30,13.0.5470.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4505830/cumulative-update-8-for-sql-server-2016-sp2"">CU8</a>",2019/07/31,13.0.5426.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4505222/security-update-for-sql-server-2016-sp2-cu7-gdr-july-9-2019"">Security update</a>",2019/07/09,13.0.5366.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4495256/cumulative-update-7-for-sql-server-2016-sp2"">CU7</a>",2019/05/23,13.0.5337.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4488536/cumulative-update-6-for-sql-server-2016-sp2"">CU6</a>",2019/03/19,13.0.5292.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4475776"">CU5</a>",2019/01/23,13.0.5264.1,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4464106/cumulative-update-4-for-sql-server-2016-sp2"">CU4</a>",2018/11/13,13.0.5233.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4458871/cumulative-update-3-for-sql-server-2016-sp2"">CU3</a> (bug: do not apply if you use Auditing)",2018/09/20,13.0.5216.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4458621/description-of-the-security-update-for-the-remote-code-execution"">GDR</a> (security patch to SP2 CU2)",2018/08/20,13.0.5201.2,2022/10/11
