Service Pack,Cumulative Update,Release Date,Build,Support Ends
,"<del> <a href=""https://support.microsoft.com/en-us/help/4293807/description-of-the-security-update-for-the-remote-code-execution-vulne"">GDR</a> (security patch to SP2 CU2) </del> (update: <a href=""https://blogs.msdn.microsoft.com/sqlreleaseservices/issue-with-security-update-for-the-remote-code-execution-vulnerability-in-sql-server-2016-sp2-cu-august-14-2018/"">un-released due to bug</a>)",2018/08/14,13.0.5161.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4340355/cumulative-update-2-for-sql-server-2016-sp2"">CU2</a>",2018/07/17,13.0.5153.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4135048/cumulative-update-1-for-sql-server-2016-sp2"">CU1</a>",2018/05/30,13.0.5149.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4532097/description-of-the-security-update-for-sql-server-2016-sp2-gdr-feb"">Security Update</a>",2020/02/11,13.0.5102.14,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4293802/description-of-the-security-update-for-the-remote-code-execution-vulne"">GDR</a> (security patch to SP2)",2018/08/14,13.0.5081.1,2022/10/11
"<a href=""https://support.microsoft.com/en-us/help/4052908/sql-server-2016-service-pack-2-release-information"">SP2</a>",,2018/04/24,13.0.5026.0,2022/10/11
,"<a href=""https://support.microsoft.com/en-us/help/4495257/cumulative-update-15-for-sql-server-2016-sp1"">CU15</a>",2019/05/16,13.0.4574.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4488535/cumulative-update-14-for-sql-server-2016-sp1"">CU14</a>",2019/03/19,13.0.4560.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4475775/cumulative-update-13-for-sql-server-2016-sp1"">CU13</a>",2019/01/23,13.0.4550.1,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4464343/cumulative-update-12-for-sql-server-2016-sp1"">CU12</a>",2018/11/13,13.0.4541.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4459676/cumulative-update-11-for-sql-server-2016-sp1"">CU11</a>",2018/09/18,13.0.4528.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4293808/security-update-for-remote-code-execution-vulnerability-in-sql-server"">GDR</a> (security patch to SP1 CU10)",2018/08/14,13.0.4522.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4341569/cumulative-update-10-for-sql-server-2016-sp1"">CU10</a>",2018/07/17,13.0.4514.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4100997/cumulative-update-9-for-sql-server-2016-sp1"">CU9</a>",2018/05/30,13.0.4502.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4077064/cumulative-update-8-for-sql-server-2016-sp1"">CU8</a>",2018/03/19,13.0.4474.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4057119/cumulative-update-7-for-sql-server-2016-sp1"">CU7</a>",2018/01/04,13.0.4466.4,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4037354/cumulative-update-6-for-sql-server-2016-sp1"">CU6</a>",2017/11/22,13.0.4457.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4040714/cumulative-update-5-for-sql-server-2016-sp1"">CU5</a>",2017/09/18,13.0.4451.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4024305/cumulative-update-4-for-sql-server-2016-sp1"">CU4</a> ( <a href=""http://sqlblog.com/blogs/mds_team/archive/2017/09/05/sql-server-2016-sp1-cu4-regression-error-while-applying-permission-on-entity-level-quick-workaround.aspx"">w/MDS bug</a>)",2017/08/08,13.0.4446.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4019916/cumulative-update-3-for-sql-server-2016-sp1"">CU3</a>",2017/05/15,13.0.4435.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4013106/cumulative-update-2-for-sql-server-2016-sp1"">CU2</a>",2017/03/20,13.0.4422.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/3208177/cumulative-update-1-for-sql-server-2016-sp1"">CU1</a>",2017/01/18,13.0.4411.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4293801/security-update-for-remote-code-execution-vulnerability-in-sql-server"">GDR</a> (security patch to SP1)",2018/08/14,13.0.4223.0,2019/07/09 - out of support
"<a href=""https://support.microsoft.com/en-us/kb/3182545"">SP1</a>",,2016/11/16,13.0.4001.0,2019/07/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4037357"">CU9</a>",2017/11/22,13.0.2216.0,2018/01/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4040713/cumulative-update-8-for-sql-server-2016"">CU8</a>",2017/09/18,13.0.2213.0,2018/01/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4024304/cumulative-update-7-for-sql-server-2016"">CU7</a>",2017/08/08,13.0.2210.0,2018/01/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4019914/cumulative-update-6-for-sql-server-2016"">CU6</a>",2017/05/15,13.0.2204.0,2018/01/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/4013105/cumulative-update-5-for-sql-server-2016"">CU5</a>",2017/03/28,13.0.2197.0,2018/01/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/help/3205052/cumulative-update-4-for-sql-server-2016"">CU4</a>",2017/01/18,13.0.2193.0,2018/01/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3205413"">CU3</a>",2016/11/17,13.0.2186.6,2018/01/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3182270"">CU2</a> (see <a href=""#note1"">note 1</a> and <a href=""#note2"">note 2</a>)",2016/09/22,13.0.2164.0,2018/01/09 - out of support
,"<a href=""https://support.microsoft.com/en-us/kb/3164674"">CU1</a>",2016/07/25,13.0.2149.0,2018/01/09 - out of support
None (RTM),,2016/06/01,13.0.1601.5,2018/01/09 - out of support
