Cumulative Update,Release Date,Build
"<a href=""https://learn.microsoft.com/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate25"">CU25</a>",2026/05/20,16.0.4255.1
"<a href=""https://support.microsoft.com/kb/5089900"">CU24 GDR</a>",2026/05/12,16.0.4252.3
"<a href=""https://support.microsoft.com/kb/5083252"">CU24 GDR</a>",2026/04/14,16.0.4250.1
"<a href=""https://learn.microsoft.com/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate24"">CU24</a>",2026/03/12,16.0.4245.2
"<a href=""https://support.microsoft.com/en-us/topic/kb5077464-description-of-the-security-update-for-sql-server-2022-cu23-march-10-2026-b57d8bd7-e9f5-48a8-8a6f-2a52d3ad29f0"">CU23 GDR</a>",2026/03/10,16.0.4240.4
"<a href=""https://learn.microsoft.com/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate23"">CU23 v2</a>",2026/01/29,16.0.4236.2
"<a href=""https://learn.microsoft.com/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate23"">CU23</a> (don't use, MS pulled it)",2026/01/15,16.0.4235.2
"<a href=""https://support.microsoft.com/kb/5068450"">CU22</a>",2025/11/13,16.0.4225.2
"<a href=""https://support.microsoft.com/kb/5068406"">GDR</a>",2025/11/11,16.0.4222.2
"<a href=""https://support.microsoft.com/kb/5065865"">CU21</a>",2025/09/11,16.0.4215.2
"<a href=""https://support.microsoft.com/en-us/topic/kb5065220-description-of-the-security-update-for-sql-server-2022-cu20-september-9-2025-e58e6d66-717c-4e33-adc1-4a89d3dd71f5"">GDR</a>",2025/09/09,16.0.4212.1
"<a href=""https://support.microsoft.com/en-us/topic/kb5063814-description-of-the-security-update-for-sql-server-2022-cu20-august-12-2025-8744624f-a95c-4902-a191-5a25079d7f37"">GDR</a>",2025/08/12,16.0.4210.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate20"">CU20</a>",2025/07/10,16.0.4205.1
"<a href=""https://support.microsoft.com/en-us/topic/kb5058721-description-of-the-security-update-for-sql-server-2022-cu19-july-8-2025-fcf14446-c16b-46b1-a096-f1b775dd45be"">GDR</a>",2025/07/08,16.0.4200.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate19"">CU19</a>",2025/05/19,16.0.4195.2
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate18"">CU18</a>",2025/03/13,16.0.4185.3
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate17"">CU17</a>",2025/01/16,16.0.4175.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate16"">CU16</a>",2024/11/14,16.0.4165.4
"<a href=""https://support.microsoft.com/en-us/topic/kb5046059-description-of-the-security-update-for-sql-server-2022-cu15-october-8-2024-b592d86f-3351-4f9f-9c80-ef495a0137c1"">GDR</a>",2024/10/08,16.0.4150.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate15"">CU15</a>",2024/09/25,16.0.4145.4
