Cumulative Update,Release Date,Build
"<a href=""https://support.microsoft.com/en-us/topic/kb5042578-description-of-the-security-update-for-sql-server-2022-cu14-september-10-2024-560e6e4c-1f49-4c18-9eb7-054e9fdee3c7"">GDR</a>",2024/09/10,16.0.4140.3
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate14"">CU14</a>",2024/07/23,16.0.4135.4
"<a href=""https://support.microsoft.com/en-us/topic/kb5040939-description-of-the-security-update-for-sql-server-2022-cu13-july-9-2024-16a61a81-926c-46a5-b6c0-edbca541f2f6"">GDR</a>",2024/07/09,16.0.4131.2
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate13"">CU13</a>",2024/05/16,16.0.4125.3
"<a href=""https://support.microsoft.com/en-us/topic/kb5036343-description-of-the-security-update-for-sql-server-2022-cu12-april-9-2024-e11a0715-435f-42be-89ff-4b3d8f9734fc"">GDR</a>",2024/04/09,16.0.4120.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate12"">CU12</a>",2024/03/14,16.0.4115.5
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate11"">CU11</a>",2024/01/11,16.0.4105.2
"<a href=""https://support.microsoft.com/en-us/topic/kb5033592-description-of-the-security-update-for-sql-server-2022-cu10-january-9-2024-0d807f8e-fa6a-4d42-88d3-71b101e71d18"">GDR</a>",2024/01/09,16.0.4100.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate10"">CU10</a>",2023/11/16,16.0.4095.4
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate9"">CU9</a>",2023/10/12,16.0.4085.2
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate8"">CU8</a>",2023/09/14,16.0.4075.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate7"">CU7</a>",2023/08/10,16.0.4065.3
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate6"">CU6</a>",2023/07/13,16.0.4055.4
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate5"">CU5</a>",2023/06/15,16.0.4045.3
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate4"">CU4</a>",2023/05/11,16.0.4035.4
"<a href=""https://support.microsoft.com/en-us/topic/kb5024396-cumulative-update-3-for-sql-server-2022-db3fcc1d-c788-4180-8afe-0a742cd77026"">CU3</a>",2023/04/13,16.0.4025.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate2"">CU2</a>",2023/03/15,16.0.4015.1
"<a href=""https://learn.microsoft.com/en-us/troubleshoot/sql/releases/sqlserver-2022/cumulativeupdate1"">CU1</a>",2023/02/16,16.0.4003.1
"<a href=""https://support.microsoft.com/kb/5021522"">GDR</a>",2023/02/14,16.0.1050.5
RTM,2022/11/15,16.0.1000.6
RC1,2022/09/29,16.0.950.9
RC0,2022/08/23,16.0.900.6
CTP 2.1,2022/07/27,16.0.700.4
CTP 2.0,2022/05/24,16.0.600.9
CTP 1.3,Unknown,16.0.300.4
CTP 1.0,Unknown,16.0.100.1
