Cumulative Update,Release Date,Build,Support Ends
"<a href=""https://support.microsoft.com/en-us/help/4494352/security-update-for-sql-server-2017-cu-14-gdr-may-14-2019"">SSAS GDR</a>",2019/05/14,,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4484710/cumulative-update-14-for-sql-server-2017"">CU14</a>",2019/03/25,14.0.3076.1,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4483666/on-demand-hotfix-update-package-for-sql-server-2017-cu13"">Hotfix</a>",2019/01/07,14.0.3049.1,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4466404/cumulative-update-13-for-sql-server-2017"">CU13</a>",2018/12/18,14.0.3048.4,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4464082/cumulative-update-12-for-sql-server-2017"">CU12</a>",2018/10/24,14.0.3045.24,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4462262/cumulative-update-11-for-sql-server-2017"">CU11</a>",2018/09/20,14.0.3038.14,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4342123/cumulative-update-10-for-sql-server-2017"">CU10</a>",2018/08/27,14.0.3037.1,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4293805/security-update-for-remote-code-execution-vulnerability-in-sql-server"">GDR2</a> (security patch to CU9)",2018/08/14,14.0.3035.2,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4341265/cumulative-update-9-for-sql-server-2017"">CU9</a>",2018/07/18,14.0.3030.27,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4338363/cumulative-update-8-for-sql-server-2017"">CU8</a>",2018/06/20,14.0.3029.16,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4229789/cumulative-update-7-for-sql-server-2017"">CU7</a>",2018/05/24,14.0.3026.27,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4101464/cumulative-update-6-for-sql-server-2017"">CU6</a>",2018/04/19,14.0.3025.34,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4092643/cumulative-update-5-for-sql-server-2017"">CU5</a>",2018/03/20,14.0.3023.8,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4056498/cumulative-update-4-for-sql-server-2017"">CU4</a>",2018/02/21,14.0.3022.28,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4052987/cumulative-update-3-for-sql-server-2017"">CU3</a>",2018/01/04,14.0.3015.40,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4052574/cumulative-update-2-for-sql-server-2017"">CU2</a> (note <a href=""http://tracyboggiano.com/archive/2017/12/sql-server-2017-cu2-bug/"">bug</a>)",2017/11/29,14.0.3008.27,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4038634/cumulative-update-1-for-sql-server-2017"">CU1</a>",2017/10/25,14.0.3006.16,2027/10/12
"<a href=""https://support.microsoft.com/en-us/help/4293803/description-of-the-security-update-for-the-remote-code-execution-vulne"">GDR</a> (security patch to RTM)",2018/08/14,14.0.2000.63,2027/10/12
"<a href=""https://www.microsoft.com/en-us/sql-server/sql-server-downloads"">RTM</a>",2017/10/02,14.0.1000.169,2027/10/12
